Firmware version:	0741705B9
File Creation Date:	30/05/2019 08:39:06
Battery Level:	 5.6
TideMaster S/N:	63590
Station ID:	04
Site info:	VALEPORT MLK4
Calibrated:	23/03/2018
Mode:	B52
Pressure units:	m
output format:	TIDEMASTER
Pressure:
User Pressure cal:
Gain:	1.029293
Offset:	-0.270551
Vale Pressure cal:
P0:	-1.853780e-9
P1:	0.003198
P2:	-1.758161
Wind speed units:	m\sec
Air Pressure units:	mBar
Air Temperature units:	DegC
Timestamp	Depth	Depth stdev	Wspeed	Wspeed stdev	Max Gust	Wdir	Wdir stdev	Air Pressure	Air Pressure stdev	Air Temperature	Air Temperature stdev	Dewpoint	Dewpoint stdev	Humidity	Humidity stdev	Batt	Status
30/05/2019 13:15:00	1.582	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:20:00	1.582	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:25:00	1.554	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:30:00	1.572	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:35:00	1.593	0.005	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:40:00	1.597	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:45:00	1.606	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:50:00	1.628	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 13:55:00	1.603	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:00:00	1.623	0.007	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:05:00	 1.61	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:10:00	1.625	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:15:00	1.671	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:20:00	 1.66	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:25:00	1.642	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:30:00	1.629	0.008	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:35:00	 1.66	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:40:00	1.684	0.004	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:45:00	1.656	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:50:00	1.654	0.006	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 14:55:00	1.657	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:00:00	1.666	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:05:00	1.653	0.007	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:10:00	1.664	0.004	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:15:00	1.691	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:20:00	1.687	0.004	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:25:00	1.672	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:30:00	1.671	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:35:00	1.674	0.005	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:40:00	1.647	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:45:00	1.702	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:50:00	 1.67	0.005	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 15:55:00	1.674	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:00:00	 1.67	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:05:00	1.658	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:10:00	1.636	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:15:00	1.628	0.005	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:20:00	1.656	0.004	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:25:00	 1.63	0.004	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:30:00	1.598	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:35:00	1.603	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:40:00	1.612	0.004	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:45:00	1.605	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:50:00	  1.6	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 16:55:00	1.579	0.009	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:00:00	 1.58	0.003	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:05:00	1.564	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:10:00	 1.56	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:15:00	1.554	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:20:00	1.551	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:25:00	1.555	0.005	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:30:00	1.529	0.005	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:35:00	1.505	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:40:00	1.506	0.001	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:45:00	1.482	0.005	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
30/05/2019 17:50:00	 1.47	0.002	   0	   0	   0	  0	  0	  0	  0	  0	  0	  0	  0	  0	  0	5.6	0
